Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",description
Ambarella Corp.,AVT053,3/14/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the path planner in the given traffic conditions
Ambarella Corp.,AVT053,3/14/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the radar based perception in the given traffic conditions
Ambarella Corp.,AVT053,3/14/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the path planner in the given traffic conditions
Ambarella Corp.,AVT053,3/14/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,3/15/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,3/15/2018,3LN6L5MU7HR609845,No,Yes,test driver,street (high speed),Unexpected result from the radar based perception in the given traffic conditions
Ambarella Corp.,AVT053,3/16/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,3/16/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,3/16/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the path planner in the given traffic conditions
Ambarella Corp.,AVT053,3/16/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the path planner in the given traffic conditions
Ambarella Corp.,AVT053,3/16/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,3/19/2018,3LN6L5MU7HR609845,No,Yes,test driver,street (high speed),Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,3/19/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,3/19/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the path planner in the given traffic conditions
Ambarella Corp.,AVT053,3/20/2018,3LN6L5MU7HR609845,No,Yes,test driver,street (high speed),Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,3/20/2018,3LN6L5MU7HR609845,No,Yes,test driver,street (high speed),Unexpected result from the radar based perception in the given traffic conditions
Ambarella Corp.,AVT053,3/21/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the perception system in road works conditions
Ambarella Corp.,AVT053,3/21/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the planning system in road works conditions
Ambarella Corp.,AVT053,3/22/2018,3LN6L5MU7HR609845,No,Yes,test driver,street (high speed),Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,3/22/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the perception system in the given traffic conditions
Ambarella Corp.,AVT053,3/22/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the planning system in road works conditions
Ambarella Corp.,AVT053,3/22/2018,3LN6L5MU7HR609845,No,Yes,test driver,street (high speed),Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,3/23/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the planning system in the given traffic conditions
Ambarella Corp.,AVT053,3/23/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the planning system in the given traffic conditions
Ambarella Corp.,AVT053,3/23/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,3/26/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,3/26/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,3/26/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the planning system in the given traffic conditions
Ambarella Corp.,AVT053,3/27/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,3/27/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,3/28/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,3/28/2018,3LN6L5MU7HR609845,No,Yes,test driver,street (high speed),Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,3/28/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,3/28/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,3/29/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Disengagement decided by the driver to avoid the road work condition
Ambarella Corp.,AVT053,3/29/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Disengagement decided by the driver to avoid the road work condition
Ambarella Corp.,AVT053,3/30/2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,04-02-2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the perception system in the given traffic conditions
Ambarella Corp.,AVT053,04-04-2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the planning system in the given traffic conditions
Ambarella Corp.,AVT053,04-05-2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the planning system in the given traffic conditions
Ambarella Corp.,AVT053,04-06-2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the planning system in the given traffic conditions
Ambarella Corp.,AVT053,04-09-2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the planning system in the given traffic conditions
Ambarella Corp.,AVT053,04-09-2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,04-10-2018,3LN6L5MU7HR609845,No,Yes,test driver,street (high speed),Unexpected result from the planning system in the given traffic conditions
Ambarella Corp.,AVT053,04-10-2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,04-10-2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,04-11-2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,04-11-2018,3LN6L5MU7HR609845,No,Yes,test driver,street (high speed),Unexpected result from the perception system in the given traffic conditions
Ambarella Corp.,AVT053,04-11-2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,04-12-2018,3LN6L5MU7HR609845,No,Yes,test driver,street (high speed),Unexpected result from the perception system in the given traffic conditions
Ambarella Corp.,AVT053,04-12-2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
Ambarella Corp.,AVT053,04-12-2018,3LN6L5MU7HR609845,No,Yes,test driver,street,Unexpected result from the GPS system in the given traffic conditions
"Apex.Ai, Inc.",AVT051,2/21/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,False positive sensor object 
"Apex.Ai, Inc.",AVT051,2/23/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant 
"Apex.Ai, Inc.",AVT051,2/28/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant 
"Apex.Ai, Inc.",AVT051,2/28/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Algorithmic deficiency 
"Apex.Ai, Inc.",AVT051,03-06-2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant 
"Apex.Ai, Inc.",AVT051,03-06-2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Deficiency of sensor set 
"Apex.Ai, Inc.",AVT051,03-12-2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Hardware problem 
"Apex.Ai, Inc.",AVT051,3/14/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,False positive sensor object 
"Apex.Ai, Inc.",AVT051,3/14/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant 
"Apex.Ai, Inc.",AVT051,3/14/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Deficiency of sensor set 
"Apex.Ai, Inc.",AVT051,3/14/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant 
"Apex.Ai, Inc.",AVT051,3/14/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant 
"Apex.Ai, Inc.",AVT051,3/15/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Algorithmic deficiency 
"Apex.Ai, Inc.",AVT051,3/15/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Algorithmic deficiency 
"Apex.Ai, Inc.",AVT051,3/15/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,False positive sensor object 
"Apex.Ai, Inc.",AVT051,3/16/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,False positive sensor object 
"Apex.Ai, Inc.",AVT051,3/16/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Deficiency of sensor set 
"Apex.Ai, Inc.",AVT051,3/19/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant 
"Apex.Ai, Inc.",AVT051,3/19/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,False positive sensor object 
"Apex.Ai, Inc.",AVT051,3/19/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Algorithmic deficiency in tracking module
"Apex.Ai, Inc.",AVT051,3/19/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Algorithmic deficiency in tracking module
"Apex.Ai, Inc.",AVT051,3/19/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant 
"Apex.Ai, Inc.",AVT051,3/20/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,False positive sensor object 
